Survived,Sex,Age,SibSp,Parch,Fare,Embarked
0,male,60.0,1,1,39.0,ささみ
0,male,25.0,1,2,41.5792,
0,male,14.0,4,1,39.6875,ささみ
0,male,19.0,0,0,10.1708,ささみ
0,male,18.0,0,0,7.7958,ささみ
1,female,15.0,0,1,211.3375,ささみ
1,male,31.0,1,0,57.0,ささみ
1,female,4.0,0,1,13.4167,
1,male,29.699,0,0,56.4958,ささみ
0,male,25.0,0,0,7.225,
0,male,60.0,0,0,26.55,ささみ
0,male,52.0,0,0,13.5,ささみ
0,male,44.0,0,0,8.05,ささみ
1,female,29.699,0,0,7.7333,Q
0,male,49.0,1,1,110.8833,
0,male,42.0,0,0,7.65,ささみ
1,female,18.0,1,0,227.525,
1,male,35.0,0,0,26.2875,ささみ
0,female,18.0,0,1,14.4542,
0,male,25.0,0,0,7.7417,Q
0,male,26.0,1,0,7.8542,ささみ
0,male,39.0,0,0,26.0,ささみ
1,female,45.0,0,0,13.5,ささみ
1,male,42.0,0,0,26.2875,ささみ
1,female,22.0,0,0,151.55,ささみ
1,male,29.699,1,1,15.2458,
1,female,24.0,0,0,49.5042,
0,male,29.699,0,0,26.55,ささみ
1,male,48.0,1,0,52.0,ささみ
0,male,29.0,0,0,9.4833,ささみ
0,male,52.0,0,0,13.0,ささみ
0,male,19.0,0,0,7.65,ささみ
1,female,38.0,0,0,227.525,
1,female,27.0,0,0,10.5,ささみ
0,male,29.699,0,0,15.5,Q
0,male,33.0,0,0,7.775,ささみ
1,female,6.0,0,1,33.0,ささみ
0,male,17.0,1,0,7.0542,ささみ
0,male,34.0,0,0,13.0,ささみ
0,male,50.0,0,0,13.0,ささみ
1,male,27.0,1,0,53.1,ささみ
0,male,20.0,0,0,8.6625,ささみ
1,female,30.0,3,0,21.0,ささみ
1,female,29.699,0,0,7.7375,Q
0,male,25.0,1,0,26.0,ささみ
0,female,25.0,1,0,7.925,ささみ
1,female,29.0,0,0,211.3375,ささみ
0,male,11.0,0,0,18.7875,
0,male,29.699,0,0,0.0,ささみ
0,male,23.0,0,0,13.0,ささみ
0,male,23.0,0,0,13.0,ささみ
0,male,28.5,0,0,16.1,ささみ
0,female,48.0,1,3,34.375,ささみ
1,male,35.0,0,0,512.3292,
0,male,29.699,0,0,7.8958,ささみ
0,male,29.699,0,0,7.8958,ささみ
1,male,29.699,0,0,30.0,ささみ
0,male,36.0,1,0,78.85,ささみ
1,female,21.0,2,2,262.375,
0,male,24.0,1,0,16.1,ささみ
1,male,31.0,0,0,7.925,ささみ
0,male,70.0,1,1,71.0,ささみ
0,male,16.0,1,1,20.25,ささみ
1,female,30.0,0,0,13.0,ささみ
0,male,19.0,1,0,53.1,ささみ
0,male,31.0,0,0,7.75,Q
1,female,4.0,1,1,23.0,ささみ
1,male,6.0,0,1,12.475,ささみ
0,male,33.0,0,0,9.5,ささみ
0,male,23.0,0,0,7.8958,ささみ
1,female,48.0,1,2,65.0,ささみ
1,male,0.67,1,1,14.5,ささみ
0,male,28.0,0,0,7.7958,ささみ
0,male,18.0,0,0,11.5,ささみ
0,male,34.0,0,0,8.05,ささみ
1,female,33.0,0,0,86.5,ささみ
0,male,29.699,0,0,14.5,ささみ
0,male,41.0,0,0,7.125,ささみ
1,male,20.0,0,0,7.2292,
1,female,36.0,1,2,120.0,ささみ
0,male,16.0,0,0,7.775,ささみ
1,female,51.0,1,0,77.9583,ささみ
0,male,29.699,0,0,39.6,
0,female,30.5,0,0,7.75,Q
0,male,29.699,1,0,24.15,Q
0,male,32.0,0,0,8.3625,ささみ
0,male,24.0,0,0,9.5,ささみ
0,male,48.0,0,0,7.8542,ささみ
0,female,57.0,0,0,10.5,ささみ
0,male,29.699,0,0,7.225,
1,female,54.0,1,3,23.0,ささみ
0,male,18.0,0,0,7.75,ささみ
0,male,29.699,0,0,7.75,Q
1,female,5.0,0,0,12.475,ささみ
0,male,29.699,0,0,7.7375,Q
1,female,43.0,0,1,211.3375,ささみ
1,female,13.0,0,0,7.2292,
1,female,17.0,1,0,57.0,ささみ
0,male,29.0,0,0,30.0,ささみ
0,male,29.699,1,2,23.45,ささみ
0,male,25.0,0,0,7.05,ささみ
0,male,25.0,0,0,7.25,ささみ
1,female,18.0,0,0,7.4958,ささみ
0,male,8.0,4,1,29.125,Q
1,male,1.0,1,2,20.575,ささみ
0,male,46.0,0,0,79.2,
0,male,29.699,0,0,7.75,Q
0,male,16.0,0,0,26.0,ささみ
0,female,29.699,8,2,69.55,ささみ
0,male,29.699,0,0,30.6958,
0,male,25.0,0,0,7.8958,ささみ
0,male,39.0,0,0,13.0,ささみ
1,female,49.0,0,0,25.9292,ささみ
1,female,31.0,0,0,8.6833,ささみ
0,male,30.0,0,0,7.2292,
0,female,30.0,1,1,24.15,ささみ
0,male,34.0,0,0,13.0,ささみ
1,female,31.0,1,1,26.25,ささみ
1,male,11.0,1,2,120.0,ささみ
1,male,0.42,0,1,8.5167,
1,male,27.0,0,0,6.975,ささみ
0,male,31.0,0,0,7.775,ささみ
0,male,39.0,0,0,0.0,ささみ
0,female,18.0,0,0,7.775,ささみ
0,male,39.0,0,0,13.0,ささみ
1,female,33.0,1,0,53.1,ささみ
0,male,26.0,0,0,7.8875,ささみ
0,male,39.0,0,0,24.15,ささみ
0,male,35.0,0,0,10.5,ささみ
0,female,6.0,4,2,31.275,ささみ
0,male,30.5,0,0,8.05,ささみ
0,male,29.699,0,0,0.0,ささみ
0,female,23.0,0,0,7.925,ささみ
0,male,31.0,1,1,37.0042,
0,male,43.0,0,0,6.45,ささみ
0,male,10.0,3,2,27.9,ささみ
1,female,52.0,1,1,93.5,ささみ
1,male,27.0,0,0,8.6625,ささみ
0,male,38.0,0,0,0.0,ささみ
1,female,27.0,0,1,12.475,ささみ
0,male,2.0,4,1,39.6875,ささみ
0,male,29.699,0,0,6.95,Q
0,male,29.699,0,0,56.4958,ささみ
1,male,1.0,0,2,37.0042,
1,male,29.699,0,0,7.75,Q
1,female,62.0,0,0,80.0,ささみ
1,female,15.0,1,0,14.4542,
1,male,0.83,1,1,18.75,ささみ
0,male,29.699,0,0,7.2292,
0,male,23.0,0,0,7.8542,ささみ
0,male,18.0,0,0,8.3,ささみ
1,female,39.0,1,1,83.1583,
0,male,21.0,0,0,8.6625,ささみ
0,male,29.699,0,0,8.05,ささみ
1,male,32.0,0,0,56.4958,ささみ
1,male,29.699,0,0,29.7,
0,male,20.0,0,0,7.925,ささみ
0,male,16.0,0,0,10.5,ささみ
1,female,30.0,0,0,31.0,
0,male,34.5,0,0,6.4375,
0,male,17.0,0,0,8.6625,ささみ
0,male,42.0,0,0,7.55,ささみ
0,male,29.699,8,2,69.55,ささみ
0,male,35.0,0,0,7.8958,
0,male,28.0,0,1,33.0,ささみ
1,female,29.699,1,0,89.1042,
0,male,4.0,4,2,31.275,ささみ
0,male,74.0,0,0,7.775,ささみ
0,female,9.0,1,1,15.2458,
1,female,16.0,0,1,39.4,ささみ
0,female,44.0,1,0,26.0,ささみ
1,female,18.0,0,1,9.35,ささみ
1,female,45.0,1,1,164.8667,ささみ
1,male,51.0,0,0,26.55,ささみ
1,female,24.0,0,3,19.2583,
0,male,29.699,0,0,7.2292,
0,male,41.0,2,0,14.1083,ささみ
0,male,21.0,1,0,11.5,ささみ
1,female,48.0,0,0,25.9292,ささみ
0,female,29.699,8,2,69.55,ささみ
0,male,24.0,0,0,13.0,ささみ
1,female,42.0,0,0,13.0,ささみ
1,female,27.0,1,0,13.8583,
0,male,31.0,0,0,50.4958,ささみ
0,male,29.699,0,0,9.5,ささみ
1,male,4.0,1,1,11.1333,ささみ
0,male,26.0,0,0,7.8958,ささみ
1,female,47.0,1,1,52.5542,ささみ
0,male,33.0,0,0,5.0,ささみ
0,male,47.0,0,0,9.0,ささみ
1,female,28.0,1,0,24.0,
1,female,15.0,0,0,7.225,
0,male,20.0,0,0,9.8458,ささみ
0,male,19.0,0,0,7.8958,ささみ
0,male,29.699,0,0,7.8958,ささみ
1,female,56.0,0,1,83.1583,
1,female,25.0,0,1,26.0,ささみ
0,male,33.0,0,0,7.8958,ささみ
0,female,22.0,0,0,10.5167,ささみ
0,male,28.0,0,0,10.5,ささみ
0,male,25.0,0,0,7.05,ささみ
0,female,39.0,0,5,29.125,Q
0,male,27.0,0,0,13.0,ささみ
1,female,19.0,0,0,30.0,ささみ
0,female,29.699,1,2,23.45,ささみ
1,male,26.0,0,0,30.0,
0,male,32.0,0,0,7.75,Q
